symbol,name,sector,mcap_cr
NLCINDIA,NLC India Ltd.,ENERGY,47617
NMDC,NMDC Ltd.,METAL,66000
NSLNISP,NMDC Steel Ltd.,METAL,13249
NTPCGREEN,NTPC Green Energy Ltd.,ENERGY,86825
NTPC,NTPC Ltd.,ENERGY,360000
NH,Narayana Hrudayalaya Ltd.,HEALTHCARE,26000
NATIONALUM,National Aluminium Co. Ltd.,METAL,29000
NAVA,Nava Ltd.,ENERGY,17259
NAVINFLUOR,Navin Fluorine International Ltd.,PHARMA,11000
NESTLEIND,Nestle India Ltd.,FMCG,232000
NETWEB,Netweb Technologies India Ltd.,IT,21932
NEULANDLAB,Neuland Laboratories Ltd.,HEALTHCARE,21902
NEWGEN,Newgen Software Technologies Ltd.,IT,6154
NAM-INDIA,Nippon Life India Asset Management Ltd.,FIN_SERVICES,69959
NIVABUPA,Niva Bupa Health Insurance Company Ltd.,FIN_SERVICES,15536
NUVAMA,Nuvama Wealth Management Ltd.,FIN_SERVICES,24000
NUVOCO,Nuvoco Vistas Corporation Ltd.,INFRA,11697
OBEROIRLTY,Oberoi Realty Ltd.,REALTY,62000
ONGC,Oil & Natural Gas Corporation Ltd.,OIL_GAS,385000
OIL,Oil India Ltd.,OIL_GAS,80045
OLAELEC,Ola Electric Mobility Ltd.,AUTO,15776
OLECTRA,Olectra Greentech Ltd.,AUTO,10095
PAYTM,One 97 Communications Ltd.,FIN_SERVICES,22000
ONESOURCE,Onesource Specialty Pharma Ltd.,HEALTHCARE,20700
OFSS,Oracle Financial Services Software Ltd.,IT,90000
POLICYBZR,PB Fintech Ltd.,FIN_SERVICES,67000
PCBL,PCBL Chemical Ltd.,PHARMA,11395
PGEL,PG Electroplast Ltd.,CONSR_DURBL,13330
PIIND,PI Industries Ltd.,PHARMA,52000
PNBHOUSING,PNB Housing Finance Ltd.,FIN_SERVICES,28472
PTCIL,PTC Industries Ltd.,INFRA,24784
PVRINOX,PVR INOX Ltd.,MEDIA,10000
PAGEIND,Page Industries Ltd.,,42725
PARADEEP,Paradeep Phosphates Ltd.,PHARMA,13251
PATANJALI,Patanjali Foods Ltd.,FMCG,50668
PERSISTENT,Persistent Systems Ltd.,IT,98000
PETRONET,Petronet LNG Ltd.,OIL_GAS,52000
PFIZER,Pfizer Ltd.,HEALTHCARE,21235
PHOENIXLTD,Phoenix Mills Ltd.,REALTY,60000
PWL,Physicswallah Ltd.,SERVICES,32037
PIDILITIND,Pidilite Industries Ltd.,PHARMA,135000
PINELABS,Pine Labs Ltd.,FIN_SERVICES,15839
PIRAMALFIN,Piramal Finance Ltd.,FIN_SERVICES,44053
PPLPHARMA,Piramal Pharma Ltd.,HEALTHCARE,23694
POLYMED,Poly Medicure Ltd.,HEALTHCARE,14611
POLYCAB,Polycab India Ltd.,INFRA,68000
POONAWALLA,Poonawalla Fincorp Ltd.,FIN_SERVICES,37000
PFC,Power Finance Corporation Ltd.,FIN_SERVICES,143125
POWERGRID,Power Grid Corporation of India Ltd.,ENERGY,295000
PREMIERENE,Premier Energies Ltd.,INFRA,45888
PRESTIGE,Prestige Estates Projects Ltd.,REALTY,72000
PNB,Punjab National Bank,FIN_SERVICES,130000
RRKABEL,R R Kabel Ltd.,INFRA,14000
RBLBANK,RBL Bank Ltd.,FIN_SERVICES,10000
RECLTD,REC Ltd.,FIN_SERVICES,88898
RHIM,RHI MAGNESITA INDIA LTD.,INFRA,8376
RITES,RITES Ltd.,INFRA,16000
RADICO,Radico Khaitan Ltd,FMCG,21000
RVNL,Rail Vikas Nigam Ltd.,INFRA,95000
RAILTEL,Railtel Corporation Of India Ltd.,SERVICES,16000
RAINBOW,Rainbow Childrens Medicare Ltd.,HEALTHCARE,13851
RKFORGE,Ramkrishna Forgings Ltd.,AUTO,10332
REDINGTON,Redington Ltd.,SERVICES,17552
RELIANCE,Reliance Industries Ltd.,OIL_GAS,1950000
RPOWER,Reliance Power Ltd.,ENERGY,11038
SBFC,SBFC Finance Ltd.,FIN_SERVICES,10162
SBICARD,SBI Cards and Payment Services Ltd.,FIN_SERVICES,57000
SBILIFE,SBI Life Insurance Company Ltd.,FIN_SERVICES,146000
SJVN,SJVN Ltd.,ENERGY,36000
SRF,SRF Ltd.,PHARMA,64000
SAGILITY,Sagility Ltd.,IT,19535
SAILIFE,Sai Life Sciences Ltd.,HEALTHCARE,24202
SAMMAANCAP,Sammaan Capital Ltd.,FIN_SERVICES,19220
MOTHERSON,Samvardhana Motherson International Ltd.,AUTO,78000
SAPPHIRE,Sapphire Foods India Ltd.,SERVICES,5954
SARDAEN,Sarda Energy and Minerals Ltd.,METAL,18778
SAREGAMA,Saregama India Ltd,MEDIA,7603
SCHAEFFLER,Schaeffler India Ltd.,AUTO,44000
SCHNEIDER,Schneider Electric Infrastructure Ltd.,INFRA,32920
SCI,Shipping Corporation of India Ltd.,SERVICES,8000
SHREECEM,Shree Cement Ltd.,INFRA,87000
SHRIRAMFIN,Shriram Finance Ltd.,FIN_SERVICES,111000
SHYAMMETL,Shyam Metalics and Energy Ltd.,INFRA,27247
ENRIN,Siemens Energy India Ltd.,INFRA,123310
SIEMENS,Siemens Ltd.,INFRA,132000
SIGNATURE,Signatureglobal (India) Ltd.,REALTY,11281
SOBHA,Sobha Ltd.,REALTY,14000
SOLARINDS,Solar Industries India Ltd.,PHARMA,167217
SONACOMS,Sona BLW Precision Forgings Ltd.,AUTO,25000
SONATSOFTW,Sonata Software Ltd.,IT,7476
STARHEALTH,Star Health and Allied Insurance Company Ltd.,FIN_SERVICES,30835
SBIN,State Bank of India,FIN_SERVICES,760000
SAIL,Steel Authority of India Ltd.,METAL,47000
SUMICHEM,Sumitomo Chemical India Ltd.,PHARMA,24411
